_id,리뷰수,장소,캠핑장이름,평점
170,58,대전 동구 산내로 710,캠프향기,4.7
171,38,경남 김해시 상동면 장척로462번길 140,신어산 자연숲 캠핑장,3
172,2,전남 영암군 영암읍 천황사로 280-73,월출산국립공원 천황사야영장,0
173,50,충남 서천군 서면 도둔리 1233,춘장대솔내음야영장,4
174,25,경기 가평군 상면 축령로 143,모나캠핑파크 가평점,5
175,14,경북 의성군 가음면 빙계계곡길 51,빙계얼음골 야영장,0
176,23,강원 횡성군 갑천면 어답산로 516,병지방오토캠핑장,3
177,29,경남 산청군 시천면 중산리 549,지리산리조트글램핑,4.2
178,14,광주 북구 월출동 968,광주시민의숲야영장,5
179,13,전북 정읍시 산내면 산호수길 204-70,로하스캠핑,2.8
180,35,충남 태안군 원북면 옥파로 1021,석갱이오토캠핑장,1.7
181,72,경기 가평군 상면 물골길 102,핀란드캠핑성,4.7
182,29,대구 수성구 진밭길 112,진밭골야영장,4.8
183,6,전남 무안군 해제면 유월리 16-33,무안황토갯벌랜드 오토캠핑장,5
184,46,경북 포항시 남구 구룡포읍 일출로332번길 95-10,유니의바다,4
185,44,전남 고흥군 봉래면 우주로 3810-7,나로힐링캠핑장,3.3
186,3,경남 진주시 내동면 내축로 523,캠핑소사이어티,4
187,35,경기 용인시 처인구 원삼면 보개원삼로1372번길 41,용인구봉산오토캠핑장 나인힐스,1.7
188,38,경북 포항시 북구 흥해읍 암각화길 41,칠포오토캠핑장,4.5
189,35,부산 북구 덕천동 763,화명오토캠핑장,3.9
190,13,전북 완주군 비봉면 천호로 235-38,주노글램핑 완주점,4
191,20,강원 양양군 현남면 인구중앙길 88,양양죽도오토캠핑장,2.3
192,3,충남 금산군 부리면 수통리 706,적벽강오토캠핑장,4.7
193,28,경남 밀양시 산외면 밀양대로 3468-7,밀양알프스캠핑장,3.7
194,15,충남 당진시 신평면 산정길 112,당진해양캠핑공원,3
195,66,경기 용인시 기흥구 기흥단지로 406,골드펫리조트,3.4
196,13,전북 순창군 적성면 강경길 76-165,섬진강마실휴양숙박시설단지,4.6
197,13,강원 홍천군 서면 한서로 347-5 1층,예담숲,4.8
198,98,강원 춘천시 남면 가옹개길 52-9,아웃오브파크,3.5
199,19,경기 가평군 북면 제령아랫말길 71,구름계곡오토캠핑장,3
200,24,인천 강화군 길상면 동검길 21,하늘정원캠핑장,3.9
201,56,경기 남양주시 수동면 비룡로 1516-19,힐링별밤 수목원캠핑장,3.7
202,37,인천 연수구 지식기반로 60,인천송도국제캠핑장,4
203,29,경기 광주시 곤지암읍 경충대로 729,팀업캠퍼스 더포레스트,2.6
204,49,경기 포천시 이동면 화동로 2496-22,채움글램핑&카라반,2.5
205,15,강원 동해시 삼화로 467,무릉계곡힐링캠프장,4
206,40,충북 충주시 대소원면 팔봉향산길 17,팔봉글램핑,4.8
207,20,경기 용인시 처인구 이동읍 백자로184번길 19,봉봉오토캠핑장,3.3
208,40,충북 제천시 백운면 덕동로 205-4,쌍용어드벤처 오토캠핑빌리지,5
209,31,제주특별자치도 서귀포시 성산읍 서성일로 260,모구리야영장,4.2
210,35,경기 가평군 상면 돌아우길 73,글램트리리조트,3.5
211,55,경기 포천시 신북면 간자동길 138-100,유식물원캠핑장,3.5
212,28,경기 포천시 이동면 금강로 6439,각흘계곡캠핑장,5
213,35,충북 진천군 문백면 봉죽2길 20-78,더빌리지캠핑장,2.5
214,15,충남 천안시 동남구 목천읍 신계리 1-1,독립기념관 캠핑장,3.2
215,36,세종특별자치시 세종동 26-1,세종합강캠핑장,3.2
216,16,인천 중구 용유서로423번길 60,왕산가족오토캠핑장,2.6
217,35,대구 북구 검단동 458-4,금호강오토캠핑장,0
218,11,전북 무주군 적상면 밀모길 79-14,캠핑리조트빨강치마,2
219,14,전남 구례군 산동면 산업로 1590-18 1층,지리산호수공원 오토캠핑장,5
220,39,충남 태안군 남면 마검포길 313-30,마검포힐링캠핑장,3.1
221,8,강원 양양군 현남면 동해대로 62,지경국민여가캠핑장,4
222,15,경북 울진군 기성면 기성로 108,구산오토캠핑장,3.4
223,34,전북 군산시 옥산면 대위로 50,청암산오토캠핑장,5
224,64,경기 동두천시 안흥로 65-36,파인힐빌리지캠핑장,4.5
225,78,경북 청도군 각북면 지슬길 34-17,하비카라반&글램핑,
226,6,경남 함양군 마천면 백무동로 377,지리산국립공원 백무동야영장,3
227,8,경북 의성군 춘산면 빙계리 896-1,빙계계곡오토캠핑장,3.3
228,16,울산 북구 당사동 378-4,당사현대차오션캠프,5
229,57,경기 가평군 가평읍 호반로 2092,하늘숲글램핑,2.3
230,50,경기 포천시 영북면 산정호수로 359-30,푸른산페어웨이,5
231,35,충북 청주시 서원구 현도면 중척리 652,현도오토캠핑장,4.4
232,29,경남 고성군 삼산면 두포5길 193,고성다이노캠핑장,3
